Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade,Protein,Classification,Pathway Name,Function / Role,Function (discrete),Gene Expression (not used),Source (Ref),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,Combination gene reguation (regulated by this # genes),degree,betweenness,eigenvector,closeness,pagerank,corenumber,clustering
NFKBIA,1,MMP9,81,81,32,0,oncogene,0,0,0,6,0,NFKBIA,oncogene,"TNF signaling pathway-C-type lectin receptor signaling pathway-Hepatitis B-NOD-like receptor signaling pathway-Toll and Imd signaling pathway-Neurotrophin signaling pathway-Relaxin signaling pathway-Insulin resistance-Chagas disease-Hepatitis C-Measles-Human cytomegalovirus infection-Influenza A-Kaposi sarcoma-associated herpesvirus infection-Herpes simplex virus 1 infection-Epstein-Barr virus infection-Human immunodeficiency virus 1 infection-Coronavirus disease - COVID-19-PD-L1 expression and PD-1 checkpoint pathway in cancer
",it protects the cell from certain signals that would otherwise cause it to self-destruct (undergo apoptosis).,"Signalling Pathway, Apoptosis, Proliferation of cells",,https://pubmed.ncbi.nlm.nih.gov/15102437/,,Unknown,2,1,0,0,1,1,0.001158748552,0,0.01130590649,0.273620799,0.0007891592834,1,0.1037231673
MAZ,1,MMP9,81,81,32,0,tumorsuppressor,0,0,0,6,0,MAZ,Tumorsupressor gene,"Drug metabolism - cytochrome P450-Metabolic pathways-GABA-A receptor agonists/antagonists-Histamine H1 receptor antagonists-Antipsychotics-Dopamine receptor agonists/antagonists-Hypnotics-Pyrimidine metabolism-Riboflavin metabolism-Antimigraines-Antiparkinsonian agents-Sodium channel blocking drugs-Purine metabolism-Nicotinate and nicotinamide metabolism-Biosynthesis of cofactors-Antifungal agents-Anxiolytics-Anticonvulsants-Opioid analgesics
",May function as a transcription factor with dual roles in transcription initiation and termination,"Metabolism, Proliferation of cells",,https://grantome.com/grant/NIH/R01-CA248762-01,,Unknown,7,3,2,1,1,1,0.001158748552,0,0.01130590649,0.273620799,0.0007891592834,1,0.1037231673
KLF8,1,MMP9,81,81,32,0,oncogene,0,0,0,6,0,KLF8,oncogene,no pathway,"Later, smooth muscle cell apoptosis, necrosis, and autophagy are coupled ... organelles and proteins for recycling to help maintain cellular homeostasis",Proliferation of cells,,https://cancerci.biomedcentral.com/articles/10.1186/s12935-019-0970-3,,Activation,2,0,0,0,2,1,0.001158748552,0,0.01130590649,0.273620799,0.0007891592834,1,0.1037231673
KLF6,1,MMP9,81,81,32,0,"oncogene, tumorsuppressor",0,0,0,6,0,KLF6,"oncogene, tumorsupressor",no pathway,play a role in B-cell growth and development,"Apoptosis, Proliferation of cells",,,,Repression,1,1,0,0,0,1,0.001158748552,0,0.01130590649,0.273620799,0.0007891592834,1,0.1037231673
IKBKB,1,MMP9,81,81,32,0,oncogene,0,0,0,6,0,IKBKB,oncogene,"Insulin resistance-Human cytomegalovirus infection-NOD-like receptor signaling pathway-TNF signaling pathway-Hepatitis C-Hepatitis B-Measles-Influenza A-Kaposi sarcoma-associated herpesvirus infection-Herpes simplex virus 1 infection-Epstein-Barr virus infection-Human immunodeficiency virus 1 infection-PD-L1 expression and PD-1 checkpoint pathway in cancer-Antifolate resistance-MAPK signaling pathway-Ras signaling pathway-Chemokine signaling pathway-NF-kappa B signaling pathway-FoxO signaling pathway
","The IKBKG protein plays a regulatory role in the IKK complex. Once the IKBKG protein is turned on (activated), it activates the other proteins in the complex, which in turn activates and releases nuclear factor-kappa-B","Signalling Pathway, Apoptosis, Proliferation of cells",,https://mcr.aacrjournals.org/content/molcanres/15/9/1255.full-text.pdf,,Repression,10,5,0,1,4,1,0.001158748552,0,0.01130590649,0.273620799,0.0007891592834,1,0.1037231673
ELF4,1,MMP9,81,81,32,0,oncogene,0,0,0,6,0,ELF4,oncogene,"HIF-1 signaling pathway	, Proteoglycans in cancer	",Plays a role in the development and function of NK and NK T-cells and in innate immunity.,"Signalling Pathway, Apoptosis, Proliferation of cells",,http://www.cancerindex.org/geneweb/ELF4.htm,,Repression,10,5,3,0,2,1,0.001158748552,0,0.01130590649,0.273620799,0.0007891592834,1,0.1037231673
CIITA,1,MMP9,81,81,32,0,oncogene,0,0,0,6,0,CIITA,oncogene,"Toxoplasmosis, Tuberculosis, Antigen processing and presentation, Influenza A, Primary immunodeficiency			",also activate signaling pathways leading to apoptosis,"Apoptosis, Proliferation of cells",,https://pubmed.ncbi.nlm.nih.gov/15467734/,,Repression,7,5,2,0,0,1,0.001158748552,0,0.01130590649,0.273620799,0.0007891592834,1,0.1037231673
XBP1,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,XBP1,Tumorsupressor gene,"Pathways of neurodegeneration - multiple diseases-Non-alcoholic fatty liver disease-Parkinson disease-Amyotrophic lateral sclerosis-Spinocerebellar ataxia-Protein processing in endoplasmic reticulum-Synaptic vesicle cycle
","Functions as a transcription factor during endoplasmic reticulum (ER) stress by regulating the unfolded protein response (UPR). Required for cardiac myogenesis and hepatogenesis during embryonic development, and the development of secretory tissues such as exocrine pancreas and salivary gland (By similarity).","Apoptosis, Proliferation of cells",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6548171/,,Activation,8,3,0,1,4,1,0.001158748552,0,0.01130590649,0.273620799,0.0007891592834,1,0.1037231673
NR2E3,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,NR2E3,oncogene,no pathway,Transcriptional factor that is an activator of rod development and repressor of cone development. Binds the promoter region of a number of rod- and cone-specific genes,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3255696/,,Unknown,3,2,1,0,0,1,0.001158748552,0,0.01130590649,0.273620799,0.0007891592834,1,0.1037231673
MECP2,1,ESR1,72,72,89,0,cigene,0,0,0,2,0,MECP2,cigene,no pathway,It is not influenced by sequences flanking the methyl-CpGs. Mediates transcriptional repression through interaction with histone deacetylase and the corepressor SIN3A,"Apoptosis, Proliferation of cells",,http://www.cancerindex.org/geneweb/MECP2.htm,,Repression,12,5,2,0,5,1,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
LEF1,2,"BIRC5,ESR1",146,"74,72","26,89",0,oncogene,0,0,1,48,1,LEF1,oncogene,"Gastric cancer-Wnt signaling pathway-Hippo signaling pathway-Adherens junction-Melanogenesis-Cushing syndrome-Salmonella infection-Kaposi sarcoma-associated herpesvirus infection-Colorectal cancer-Endometrial cancer-Prostate cancer-Thyroid cancer-Basal cell carcinoma-Acute myeloid leukemia-Breast cancer-Hepatocellular carcinoma-Arrhythmogenic right ventricular cardiomyopathy
",Participates in the Wnt signaling pathway (By similarity). Activates transcription of target genes in the presence of CTNNB1 and EP300 (By similarity). PIAG antagonizes both Wnt-dependent and Wnt-independent activation by LEF1 (By similarity).,"Signalling Pathway, Apoptosis, Proliferation of cells",,https://ashpublications.org/blood/article/112/11/3802/61440/LEF1-Is-a-Tumor-Suppressor-in-T-Cell-Acute,,Unknown,2,0,0,0,2,2,0.1413673233,0.2531093248,0.3352128116,0.4249138355,0.02788126373,5,0.1037231673
KDM4B,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,KDM4B,Tumorsupressor gene,no pathway,playing a role in histone code,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6410163/,,Unknown,6,2,2,1,1,1,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
HDAC9,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,HDAC9,Tumorsupressor gene,"Alcoholism,Viral carcinogenesis		"," Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events.",Apoptosis,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4396045/,,Repression,8,4,2,1,1,1,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
BARX2,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,BARX2,Tumorsupressor gene,no pathway,May control the expression of neural adhesion molecules such as L1 or Ng-CAM during embryonic development of both the central and peripherical nervous system.,Proliferation of cells,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5312404/,,Unknown,2,2,0,0,0,1,0.002317497103,0.001785575994,0.02667773865,0.3115523466,0.0008979538776,2,0.1037231673
BARD1,1,ESR1,72,72,89,0,"oncogene, tumorsuppressor",0,0,0,2,0,BARD1,"oncogene, tumorsupressor",Homologous recombination,Plays a central role in the control of the cell cycle in response to DNA damage,"Apoptosis, Proliferation of cells",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5748693/#:~:text=Indeed%2C%20whereas%20FL%20BARD1%20protein,to%20play%20an%20oncogenic%20role.",-1.116906394,Activation,3,0,2,0,1,1,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
ZFHX3,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,ZFHX3,tumorsupressor,no pathway,Transcriptional regulator which can act as an activator or a repressor.,,,"https://www.nature.com/articles/s41389-019-0138-y#:~:text=ZFHX3%20has%20been%20established%20as,%2Dinduced%20tumorigenesis35%2C36.",,,21,8,7,5,1,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
UGT2B15,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,UGT2B15,oncogene,no pathway,"This isozyme displays activity toward several classes of xenobiotic substrates, including simple phenolic compounds, 7-hydroxylated coumarins, flavonoids, anthraquinones, and certain drugs and their hydroxylated metabolites.",Proliferation of cells,,http://www.cancerindex.org/geneweb/UGT2B15.htm,,,6,3,2,1,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
UGT1A4,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,UGT1A4,Tumorsupressor gene,no pathway,"Essential for the elimination and detoxification of drugs, xenobiotics and endogenous compounds",,,https://bmccancer.biomedcentral.com/articles/10.1186/s12885-019-6490-7,,,2,2,0,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
TYMS,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,TYMS,oncogene,no pathway,Contributes to the de novo mitochondrial thymidylate biosynthesis pathway.,"Apoptosis, Proliferation of cells",,https://pubmed.ncbi.nlm.nih.gov/18365142/,3.472520694,,1,1,0,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
TAC3,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,TAC3,Tumorsupressor gene,Neuroactive ligand-receptor interaction,"Tachykinins are active peptides which excite neurons, evoke behavioral responses, are potent vasodilators and secretagogues, and contract (directly or indirectly) many smooth muscles (By similarity). Is a critical central regulator of gonadal function",Proliferation of cells,,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-16-S7-S8,,,,,,,,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
SERPINB9,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,SERPINB9,oncogene,no pathway,The encoded protein belongs to a subfamily of intracellular serpins. This protein inhibits the activity of the effector molecule granzyme B. Overexpression of this protein may prevent cytotoxic T-lymphocytes from eliminating certain tumor cells.,"Apoptosis, Proliferation of cells",,http://www.ijcep.com/files/ijcep0101112.pdf,,,6,4,2,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
RUNX2,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,RUNX2,tumorsupressor,"Transcriptional misregulation in cancer, Parathyroid hormone synthesis, secretion and action	","The RUNX2 protein is a transcription factor, which means it attaches (binds) to specific regions of DNA and helps control the activity of particular genes.","Transcriptional misregulation, Apoptosis, Proliferation of cells",,https://www.nature.com/articles/1207130,,Unknown,6,2,1,2,1,1,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
RET,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,RET,oncogene,"Pancreatic secretion-Salivary secretion-Growth hormone synthesis, secretion and action-Bile secretion-Collecting duct acid secretion-Insulin secretion-Bacterial secretion system-Gastric acid secretion-Aldosterone synthesis and secretion-Protein processing in endoplasmic reticulum-Renin secretion-GnRH secretion-Retrograde endocannabinoid signaling-Parathyroid hormone synthesis, secretion and action-Retinol metabolism-Sulfonamide derivatives - diuretics-Cortisol synthesis and secretion-Vibrio cholerae infection-Proximal tubule bicarbonate reclamation
","The RET protein spans the cell membrane, so that one end of the protein remains inside the cell and the other end projects from the outer surface of the cell.","Signalling Pathway, Apoptosis, Proliferation of cells",,"https://pubmed.ncbi.nlm.nih.gov/22751117/#:~:text=RET%2C%20a%20transmembrane%20receptor%20tyrosine,in%20thyroid%20cancer%20and%20pheochromocytoma.",,,8,7,1,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
RARA,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,RARA,oncogene,"Pathways in cancer-Transcriptional misregulation in cancer-Th17 cell differentiation-Estrogen signaling pathway-Renin-angiotensin system inhibitors
","The RARα protein binds to specific regions of DNA and attracts other proteins that help block (repress) gene transcription, the first step in protein production.","Signalling Pathway, Apoptosis, Proliferation of cells",,https://www.nature.com/articles/1207682.pdf?origin=ppub,,,5,1,3,0,1,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
PTMA,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,PTMA,oncogene,no pathway,Our data support that nuclear PTMA protein serves as a tumor suppressor,"Apoptosis, Proliferation of cells",,https://cancerres.aacrjournals.org/content/66/6/3137,,,2,0,0,0,2,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
PMAIP1,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,PMAIP1,Tumorsupressor gene,"Platinum drug resistance-Apoptosis-p53 signaling pathway-Apoptosis - multiple species-Pathways in cancer-Viral carcinogenesis-Colorectal cancer
",Promotes activation of caspases and apoptosis. Promotes mitochondrial membrane changes and efflux of apoptogenic proteins from the mitochondria.,"Cell Signalling, Apoptosis, Proliferation of cells",,https://pubmed.ncbi.nlm.nih.gov/18231856/,4.374616319,,1,0,0,0,1,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
OXT,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,OXT,oncogene,"Oxytocin signaling pathway-Neuroactive ligand-receptor interaction-cAMP signaling pathway-Polycyclic aromatic hydrocarbon degradation-Microbial metabolism in diverse environments-Calcium signaling pathway-Biofilm formation - Vibrio cholerae
",Oxytocin causes contraction of the smooth muscle of the uterus and of the mammary gland. Acts by binding to oxytocin receptor (OXTR),"Signalling Pathway, Proliferation of cells",,https://books.google.com.pk/books?id=vSSES5WRdZ4C&pg=PA288&lpg=PA288&dq=OXT+is+an+oncogene+or+tumor+suppressor+gene&source=bl&ots=Y2i8E81s0l&sig=ACfU3U14K1bzUPIyhh9Lxg5ODSaAwi7kbg&hl=en&sa=X&ved=2ahUKEwic4tqU-LntAhWTOcAKHSHSA0sQ6AEwEHoECBoQAg,,,,,,,,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
NRF1,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,NRF1,tumorsupressor,"Apelin signaling pathway,Huntington disease	","ranscription factor that activates the expression of the EIF2S1 (EIF2-alpha) gene. Links the transcriptional modulation of key metabolic genes to cellular growth and development. Implicated in the control of nuclear genes required for respiration, heme biosynthesis, and mitochondrial DNA transcription and replication. ",Signalling Pathway,,https://www.hindawi.com/journals/omcl/2020/5138539/,,,4,2,1,0,1,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
NR5A2,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,NR5A2,oncogene,Maturity onset diabetes of the young,"Nuclear receptor that acts as a key metabolic sensor by regulating the expression of genes involved in bile acid synthesis, cholesterol homeostasis and triglyceride synthesis. ",Proliferation of cells,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6489909/,,,10,4,2,0,4,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
MMP13,1,ESR1,72,72,89,0,cigene,0,0,0,2,0,MMP13,cigene,"IL-17 signaling pathway,Relaxin signaling pathway,Parathyroid hormone synthesis, secretion and action		","Plays a role in the degradation of extracellular matrix proteins including fibrillar collagen, fibronectin, TNC and ACAN. Cleaves triple helical collagens, including type I, type II and type III collagen, but has the highest activity with soluble type II collagen",Signalling Pathway,,https://www.cancer-genetics.org/MMP13.htm,10.23270762,,5,3,2,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
MDM2,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,MDM2,oncogene,"p53 signaling pathway-C-type lectin receptor signaling pathway-Pathways in cancer-MicroRNAs in cancer-Chronic myeloid leukemia-Glioma-Endocrine resistance-Platinum drug resistance-FoxO signaling pathway-Cell cycle-Ubiquitin mediated proteolysis-PI3K-Akt signaling pathway-Cellular senescence-Thyroid hormone signaling pathway-Shigellosis-Human cytomegalovirus infection-Human papillomavirus infection-Epstein-Barr virus infection-Transcriptional misregulation in cancer-Viral carcinogenesis
","E3 ubiquitin-protein ligase that mediates ubiquitination of p53/TP53, leading to its degradation by the proteasome. Inhibits p53/TP53- and p73/TP73-mediated cell cycle arrest and apoptosis by binding its transcriptional activation domain","Cell Signalling, Apoptosis, Proliferation of cells",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2912554/#:~:text=Mdm2%20has%20been%20well%20characterized,oncogenic%20pathways%20independent%20of%20p53.",,,2,2,0,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
KDR,1,ESR1,72,72,89,0,cigene,0,0,0,2,0,KDR,cigene,"Proteoglycans in cancer-Fluid shear stress and atherosclerosis-EGFR tyrosine kinase inhibitor resistance-MAPK signaling pathway-Ras signaling pathway-Rap1 signaling pathway-Calcium signaling pathway-PI3K-Akt signaling pathway-VEGF signaling pathway-Focal adhesion
","Plays an essential role in the regulation of angiogenesis, vascular development, vascular permeability, and embryonic hematopoiesis. Promotes proliferation, survival, migration and differentiation of endothelial cells","Cell Signalling, Apoptosis, Proliferation of cells",,https://www.longdom.org/open-access/kdr-mutation-a-highfrequency-rare-mutation-and-its-correlation-withother-somatic-mutations-in-indian-colorectal-cancer-patients-2469-9853-1000148.pdf,,,9,7,2,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
HTRA2,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,HTRA2,tumorsupressor,"Apoptosis_Apoptosis - multiple species_Parkinson disease_Pathways of neurodegeneration - multiple diseases_Apoptosis - fly
",Serine protease that shows proteolytic activity against a non-specific substrate beta-casein,Apoptosis,,https://pubmed.ncbi.nlm.nih.gov/20122399/,,,2,0,1,0,1,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
HSPB1,1,ESR1,72,72,89,0,oncogene,0,0,0,2,0,HSPB1,oncogene,"MAPK signaling pathway, VEGF signaling pathway, Amoebiasis		",Plays a role in stress resistance and actin organization (PubMed:19166925).,"Signalling Pathway, Apoptosis, Proliferation of cells",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3980596/,,,3,0,1,0,2,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
FOXP1,1,ESR1,72,72,89,0,"oncogene, tumorsuppressor",0,0,0,2,0,FOXP1,"oncogene, tumorsupressor",MicroRNAs in cancer,Plays an important role in the specification and differentiation of lung epithelium.,"Apoptosis, Proliferation of cells",,https://pubmed.ncbi.nlm.nih.gov/26654944/,,,8,3,1,2,2,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
F12,1,ESR1,72,72,89,0,"oncogene, tumorsuppressor",0,0,0,2,0,F12,both,"RIG-I-like receptor signaling pathway-Cytokine-cytokine receptor interaction-Axon guidance-RNA degradation-Basal transcription factors-Complement and coagulation cascades-Vascular smooth muscle contraction-Axon regeneration-Platelet activation-C-type lectin receptor signaling pathway-Regulation of actin cytoskeleton-Pathogenic Escherichia coli infection-Yersinia infection-Tuberculosis-Human cytomegalovirus infection-Pathways in cancer-Proteoglycans in cancer
","plays a role in stimulating inflammation, a normal body response to infection, irritation, or other injury. W","Signalling Pathway, Proliferation of cells",,https://www.nature.com/articles/1204178,,,1,1,0,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
ESRRA,1,ESR1,72,72,89,0,tumorsuppressor,0,0,0,2,0,ESRRA,Tumorsupressor gene,no pathway,may act as an important regulator of MCAD promoter,Proliferation of cells,,https://www.nature.com/articles/srep17621,,,1,0,1,0,0,0,0.001158748552,0,0.02149262115,0.2983062565,0.0007858008454,1,0.1037231673
